               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11688,            0.038724,            0.060965,           0.0021813,            0.089788,            0.001591,          0.00035414,             0.11417,            0.033303,            0.061003,              0.0002,              0.0002,              0.0982
                   1,              0.1097,            0.039066,            0.059749,           0.0022461,            0.099099,           0.0014284,          0.00029452,             0.10832,            0.033323,            0.059009,          0.00040998,          0.00040998,             0.09631
                   2,             0.10208,            0.040378,            0.057439,           0.0076829,              0.1666,           0.0059828,           0.0011627,            0.099819,            0.035629,            0.056571,          0.00061988,          0.00061988,             0.09442
                   3,            0.096143,            0.044213,            0.055159,            0.013168,            0.058116,           0.0098778,            0.003255,            0.093513,            0.038001,            0.054185,          0.00082963,          0.00082963,             0.09253
                   4,            0.090437,            0.046059,            0.053086,            0.034845,             0.14701,            0.024394,           0.0066568,            0.091096,            0.038478,            0.050127,           0.0010392,           0.0010392,            0.090639
                   5,            0.084953,            0.048259,            0.050343,            0.067053,             0.12601,            0.045222,            0.012332,             0.08575,             0.03977,            0.046283,           0.0012485,           0.0012485,            0.088748
                   6,            0.080313,            0.048932,            0.046909,             0.39494,             0.14836,             0.10836,            0.038478,            0.076986,            0.042178,            0.043029,           0.0014574,           0.0014574,            0.086857
                   7,            0.074604,            0.049513,            0.044291,             0.38858,             0.15464,             0.11643,             0.04378,            0.076892,            0.040429,            0.039925,            0.001666,            0.001666,            0.084966
                   8,            0.071894,            0.048514,            0.042913,             0.54909,             0.17796,             0.12819,            0.051138,            0.068418,            0.042918,            0.037616,           0.0018741,           0.0018741,            0.083074
                   9,             0.06907,            0.046475,            0.041319,             0.89391,             0.11602,             0.14136,            0.051271,             0.06802,            0.042217,            0.034893,           0.0020817,           0.0020817,            0.081182
                  10,            0.068712,            0.047044,            0.039001,             0.90158,             0.11175,              0.1534,            0.056959,            0.066036,            0.040868,            0.033678,           0.0022887,           0.0022887,            0.079289
                  11,            0.065991,            0.044747,            0.037043,             0.27363,             0.26084,             0.17617,            0.061348,            0.066329,            0.041433,            0.031524,            0.002495,            0.002495,            0.077395
                  12,             0.06506,            0.047303,            0.036309,              0.3449,              0.2914,             0.23997,            0.089765,            0.061137,            0.040144,            0.030321,           0.0027007,           0.0027007,            0.075501
                  13,             0.06346,             0.04594,            0.035664,             0.32942,             0.26014,             0.20106,            0.066583,            0.063731,            0.038921,            0.029702,           0.0029056,           0.0029056,            0.073606
                  14,            0.062832,            0.043477,            0.034793,              0.6572,             0.21442,             0.24721,             0.11174,            0.058889,            0.039033,            0.028788,           0.0031098,           0.0031098,             0.07171
                  15,            0.061936,            0.043806,             0.03261,              0.2373,             0.32717,             0.24098,            0.091879,            0.060522,            0.038637,            0.028336,            0.003313,            0.003313,            0.069813
                  16,            0.060518,            0.043415,            0.032895,             0.57628,             0.28401,             0.27428,              0.1262,            0.055657,            0.038229,            0.026295,           0.0035153,           0.0035153,            0.067915
                  17,            0.061317,            0.041499,            0.030973,             0.41216,              0.3015,             0.24552,            0.090224,            0.060522,            0.037687,            0.025562,           0.0037166,           0.0037166,            0.066017
                  18,            0.059253,             0.04181,            0.029243,              0.4042,             0.29717,             0.24509,            0.095415,            0.057821,            0.037019,            0.024154,           0.0039168,           0.0039168,            0.064117
                  19,            0.058381,            0.041319,            0.029111,             0.51133,             0.32707,             0.29238,             0.11724,            0.056259,             0.03687,            0.023413,           0.0041159,           0.0041159,            0.062216
                  20,            0.059155,            0.040916,             0.02741,              0.2231,             0.44009,             0.32125,             0.11717,            0.056185,            0.037373,            0.023056,           0.0043139,           0.0043139,            0.060314
                  21,            0.057794,            0.041702,            0.025932,             0.13599,             0.57328,             0.27257,             0.10177,            0.060577,            0.036838,            0.023526,           0.0045106,           0.0045106,            0.058411
                  22,            0.057963,            0.040662,            0.025584,             0.32166,             0.52703,             0.41343,              0.1712,            0.055287,            0.036629,            0.021756,            0.004706,            0.004706,            0.056506
                  23,             0.05757,            0.040895,            0.025271,             0.32074,             0.53718,             0.43594,             0.18629,             0.05785,            0.035262,            0.021416,           0.0049001,           0.0049001,              0.0546
                  24,            0.062199,             0.03794,             0.02533,             0.32431,             0.43567,             0.37006,             0.20026,             0.05958,             0.03604,            0.024651,           0.0050928,           0.0050928,            0.052693
                  25,            0.060134,            0.039562,             0.02327,             0.44785,             0.50655,             0.46878,              0.2081,             0.05552,            0.035928,            0.021127,           0.0052841,           0.0052841,            0.050784
                  26,            0.059728,            0.038815,             0.02379,             0.37681,             0.60238,             0.48102,             0.21732,            0.054522,            0.035489,            0.019825,           0.0054738,           0.0054738,            0.048874
                  27,            0.058572,              0.0387,            0.023486,             0.36859,             0.51357,             0.42965,             0.19462,             0.05593,            0.035326,            0.019653,            0.005662,            0.005662,            0.046962
                  28,            0.057235,             0.03971,            0.022536,             0.45603,             0.44897,             0.39854,             0.20161,            0.055864,            0.036797,            0.021899,           0.0058485,           0.0058485,            0.045049
                  29,             0.05833,            0.040568,            0.021589,             0.40933,             0.50796,             0.45956,             0.21226,            0.054252,            0.036577,            0.019704,           0.0060334,           0.0060334,            0.043133
                  30,            0.055883,            0.039613,            0.020773,             0.40354,             0.54143,             0.43046,             0.16875,            0.054281,            0.036087,            0.019235,           0.0062166,           0.0062166,            0.041217
                  31,            0.056172,            0.040717,            0.021463,             0.35132,             0.46393,             0.33755,             0.15842,            0.055261,            0.036814,            0.019218,            0.006398,            0.006398,            0.039298
                  32,            0.054223,            0.038264,            0.019798,             0.44702,              0.4918,             0.44578,             0.19573,             0.05234,            0.036756,            0.019347,           0.0065776,           0.0065776,            0.037378
                  33,             0.05315,            0.039173,            0.020245,             0.45293,             0.43939,             0.44778,             0.18763,            0.052361,            0.036845,            0.018659,           0.0067553,           0.0067553,            0.035455
                  34,            0.054335,            0.037981,            0.019402,             0.35001,             0.48191,             0.43138,             0.19558,            0.056412,            0.036036,            0.019613,           0.0069311,           0.0069311,            0.033531
                  35,            0.054695,            0.037996,            0.018923,             0.48479,             0.51409,             0.47169,             0.20528,            0.052801,            0.036657,            0.018777,            0.007105,            0.007105,            0.031605
                  36,            0.052831,             0.03743,            0.018201,             0.50974,             0.46021,             0.44376,             0.20333,            0.054083,            0.036942,             0.01777,           0.0072768,           0.0072768,            0.029677
                  37,            0.051162,             0.03745,            0.017231,             0.33635,             0.46015,             0.33241,             0.16299,            0.058376,            0.036258,            0.019165,           0.0074466,           0.0074466,            0.027747
                  38,             0.05173,            0.038548,            0.017504,             0.45339,               0.391,              0.4027,             0.19833,            0.055622,            0.037833,            0.020535,           0.0076142,           0.0076142,            0.025814
                  39,            0.053044,            0.036861,             0.01627,             0.36268,             0.34102,             0.34939,             0.14761,            0.061636,            0.036378,            0.022608,           0.0077797,           0.0077797,             0.02388
                  40,            0.057958,            0.036882,            0.017843,             0.39253,             0.43546,             0.39263,             0.15282,            0.058286,            0.035615,            0.020608,            0.007943,            0.007943,            0.021943
                  41,            0.056203,            0.037437,            0.018781,             0.37294,             0.46255,             0.41532,             0.16826,            0.056358,            0.037189,            0.020429,           0.0081041,           0.0081041,            0.020004
                  42,            0.053897,            0.038547,            0.016682,              0.2784,             0.49241,             0.32004,             0.12975,            0.057058,            0.038125,            0.019853,           0.0082629,           0.0082629,            0.018063
                  43,            0.054952,            0.038181,            0.016596,             0.46149,             0.45054,             0.42457,             0.18099,            0.058071,            0.037961,            0.020375,           0.0084193,           0.0084193,            0.016119
                  44,            0.051934,            0.037788,            0.015996,             0.40837,             0.49785,             0.43535,             0.19815,            0.052277,            0.038793,            0.018539,           0.0085735,           0.0085735,            0.014173
                  45,            0.050937,             0.03717,            0.015644,             0.61187,              0.3784,             0.37582,             0.17116,            0.054166,            0.038963,            0.020635,           0.0087252,           0.0087252,            0.012225
                  46,            0.050067,             0.03733,            0.014965,             0.42767,             0.43071,             0.43166,             0.17541,            0.052256,            0.037336,            0.021082,           0.0088744,           0.0088744,            0.010274
                  47,            0.052014,             0.03732,            0.015941,              0.4966,             0.48443,             0.43263,              0.1891,            0.052109,            0.038519,            0.019983,           0.0089585,           0.0089585,           0.0089585
                  48,            0.049478,            0.037571,            0.015318,             0.40187,             0.46476,             0.35889,             0.13747,            0.051832,            0.037497,            0.020995,           0.0089585,           0.0089585,           0.0089585
                  49,               0.049,            0.038674,            0.015258,             0.55551,              0.4393,             0.47018,             0.22703,            0.051307,            0.039383,            0.020154,           0.0089159,           0.0089159,           0.0089159
                  50,            0.048358,             0.03717,            0.014448,              0.3771,              0.4898,              0.4108,             0.18776,             0.05402,            0.040184,            0.016955,           0.0088725,           0.0088725,           0.0088725
                  51,            0.048435,            0.036467,            0.013887,             0.30237,             0.39023,             0.34987,             0.16095,             0.06011,            0.040377,            0.020188,           0.0088284,           0.0088284,           0.0088284
                  52,            0.045568,            0.038175,             0.01242,             0.47707,             0.38509,             0.39142,             0.18931,            0.053655,            0.039533,            0.022222,           0.0087837,           0.0087837,           0.0087837
                  53,            0.047586,            0.037411,            0.012917,              0.4806,             0.48864,             0.46024,              0.2344,            0.052331,            0.039072,            0.019853,           0.0087382,           0.0087382,           0.0087382
                  54,            0.045596,            0.037527,            0.012945,             0.54002,             0.45702,             0.48396,             0.21852,            0.051408,            0.037975,            0.019466,           0.0086921,           0.0086921,           0.0086921
                  55,             0.04428,            0.037638,            0.013278,              0.3849,             0.50725,             0.45135,             0.20433,            0.052668,            0.039766,            0.019382,           0.0086452,           0.0086452,           0.0086452
                  56,             0.04624,            0.034823,             0.01294,             0.40888,             0.45811,             0.42398,             0.20366,            0.052485,             0.03972,            0.020331,           0.0085978,           0.0085978,           0.0085978
                  57,            0.047584,            0.035502,            0.012889,             0.43826,             0.38922,               0.371,             0.18676,            0.054268,            0.039645,            0.018215,           0.0085497,           0.0085497,           0.0085497
                  58,            0.044636,            0.035584,            0.011464,             0.54209,             0.44854,             0.43056,             0.18477,            0.052001,            0.039552,            0.019064,            0.008501,            0.008501,            0.008501
                  59,            0.045603,            0.037283,            0.010464,             0.43372,             0.52145,             0.41533,               0.194,             0.04952,            0.038389,            0.019793,           0.0084516,           0.0084516,           0.0084516
                  60,            0.043617,            0.036979,            0.012655,             0.50158,             0.50787,             0.44282,             0.20165,            0.052981,            0.038712,            0.017992,           0.0084017,           0.0084017,           0.0084017
                  61,            0.047757,            0.035483,            0.011816,             0.57532,             0.47463,             0.47221,             0.22755,            0.048646,            0.040068,            0.020573,           0.0083511,           0.0083511,           0.0083511
                  62,            0.042408,            0.034525,            0.010785,             0.42969,             0.46015,              0.4051,             0.17428,            0.051578,            0.039098,            0.020508,              0.0083,              0.0083,              0.0083
                  63,            0.042857,            0.035948,            0.010465,             0.43079,             0.46894,             0.44677,             0.21529,            0.051633,            0.040491,            0.020043,           0.0082483,           0.0082483,           0.0082483
                  64,            0.043726,            0.033993,            0.010548,              0.5564,             0.44445,             0.45404,              0.2512,            0.051163,            0.039017,            0.019466,           0.0081961,           0.0081961,           0.0081961
                  65,            0.044356,            0.035257,            0.010631,             0.66617,             0.46654,              0.4792,             0.24667,            0.048601,            0.039092,            0.017936,           0.0081433,           0.0081433,           0.0081433
                  66,            0.040698,            0.034308,            0.010252,             0.40558,             0.54568,             0.45312,             0.25899,            0.049922,             0.03987,            0.018667,             0.00809,             0.00809,             0.00809
                  67,            0.040263,            0.035362,           0.0095658,             0.56458,             0.51916,             0.51091,             0.25715,            0.048101,            0.039881,            0.019138,           0.0080362,           0.0080362,           0.0080362
                  68,            0.042347,            0.034916,           0.0097482,             0.47826,             0.51334,             0.46318,             0.24482,            0.049673,            0.039351,            0.018484,           0.0079818,           0.0079818,           0.0079818
                  69,            0.042388,            0.034515,            0.011254,             0.48902,             0.51094,             0.47979,             0.20387,            0.048576,              0.0387,            0.019154,            0.007927,            0.007927,            0.007927
                  70,            0.041834,            0.033365,           0.0094451,             0.42953,             0.48712,             0.43304,             0.23813,            0.050783,            0.038912,            0.019717,           0.0078717,           0.0078717,           0.0078717
                  71,            0.040772,            0.034896,           0.0092307,             0.38899,             0.49375,             0.39819,             0.18427,            0.052529,            0.039558,            0.018862,            0.007816,            0.007816,            0.007816
                  72,            0.041446,            0.033615,           0.0098476,             0.46154,              0.4603,              0.4159,             0.21843,            0.052347,             0.04022,            0.018327,           0.0077598,           0.0077598,           0.0077598
                  73,            0.039447,            0.033952,           0.0090765,             0.54571,             0.48113,             0.45643,             0.22686,            0.048761,            0.040396,            0.017006,           0.0077031,           0.0077031,           0.0077031
                  74,            0.039185,            0.034984,           0.0083711,             0.65892,             0.45068,             0.46625,             0.23864,            0.047549,            0.040563,            0.020096,           0.0076461,           0.0076461,           0.0076461
