               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048636,            0.038242,            0.015808,              0.5223,             0.43963,             0.40751,             0.18987,             0.05204,            0.039088,            0.021385,           0.0094106,           0.0094106,           0.0094106
                  37,            0.048978,            0.036798,            0.015305,             0.48278,             0.45302,             0.42903,             0.22262,            0.051557,            0.039504,            0.020876,           0.0093773,           0.0093773,           0.0093773
                  38,            0.047695,            0.038883,            0.015052,             0.54179,             0.50163,             0.47883,             0.21797,            0.051745,            0.038842,            0.019806,           0.0093432,           0.0093432,           0.0093432
                  39,            0.047739,            0.037567,            0.014553,             0.43155,             0.50894,             0.45111,             0.21375,            0.051049,            0.039625,            0.021542,           0.0093083,           0.0093083,           0.0093083
                  40,            0.047897,            0.037611,            0.015542,             0.56652,             0.45344,             0.45449,             0.22923,            0.051652,            0.037919,            0.019772,           0.0092726,           0.0092726,           0.0092726
                  41,            0.047389,            0.038968,            0.015743,             0.59027,             0.37365,             0.37034,             0.16597,            0.052927,            0.038811,            0.021792,           0.0092361,           0.0092361,           0.0092361
                  42,            0.046636,            0.038722,            0.013666,             0.47737,             0.39696,             0.40937,             0.20335,            0.052519,            0.039054,            0.021812,           0.0091987,           0.0091987,           0.0091987
                  43,             0.04622,            0.037901,            0.013192,             0.37846,             0.45359,             0.39338,             0.19416,            0.049746,            0.038396,            0.022364,           0.0091606,           0.0091606,           0.0091606
                  44,            0.045275,             0.03677,            0.013409,              0.4817,             0.44397,             0.39189,             0.17388,            0.054815,            0.038094,            0.021162,           0.0091217,           0.0091217,           0.0091217
                  45,            0.046714,            0.036905,            0.013889,             0.45677,              0.4724,             0.44671,             0.19941,            0.050994,            0.037185,            0.022818,           0.0090821,           0.0090821,           0.0090821
                  46,             0.04555,            0.036296,            0.013181,             0.51137,             0.51272,             0.48455,             0.22447,            0.048988,            0.038919,            0.021071,           0.0090416,           0.0090416,           0.0090416
                  47,            0.046717,            0.037227,            0.013661,             0.63513,             0.51228,             0.54439,              0.2446,             0.04652,            0.040134,            0.019983,           0.0090004,           0.0090004,           0.0090004
                  48,            0.044645,            0.036373,            0.013071,             0.48885,             0.44144,             0.43812,             0.19878,             0.04949,             0.03846,            0.020137,           0.0089585,           0.0089585,           0.0089585
                  49,            0.043179,            0.037561,            0.012402,             0.56119,             0.48824,             0.50586,             0.25155,            0.047805,            0.038572,             0.02001,           0.0089159,           0.0089159,           0.0089159
                  50,               0.043,            0.035926,            0.012529,              0.5256,             0.54243,             0.53336,             0.27339,            0.049678,            0.037257,            0.019163,           0.0088725,           0.0088725,           0.0088725
                  51,            0.043392,            0.035193,            0.012071,             0.42475,             0.42394,             0.42762,             0.20555,            0.052258,            0.039378,            0.020568,           0.0088284,           0.0088284,           0.0088284
                  52,            0.042064,            0.037365,            0.011126,             0.47295,             0.56708,              0.4976,             0.27475,            0.046974,            0.037643,            0.020117,           0.0087837,           0.0087837,           0.0087837
                  53,            0.043367,            0.036313,            0.010817,             0.48631,             0.54512,             0.49745,             0.22221,            0.046974,            0.037769,            0.020627,           0.0087382,           0.0087382,           0.0087382
                  54,            0.042452,             0.03616,            0.011368,             0.50162,             0.49473,             0.46013,             0.21306,            0.048063,            0.037469,            0.020591,           0.0086921,           0.0086921,           0.0086921
                  55,            0.043261,            0.036509,            0.011919,             0.58758,             0.49487,             0.51971,             0.26868,            0.046602,            0.038188,            0.019877,           0.0086452,           0.0086452,           0.0086452
                  56,            0.043453,            0.033695,            0.011765,             0.70269,             0.45863,             0.51982,             0.24573,            0.047319,            0.037983,             0.01955,           0.0085978,           0.0085978,           0.0085978
                  57,            0.041298,            0.034733,            0.010655,              0.4858,             0.51604,              0.4899,             0.23703,            0.047667,            0.038726,            0.020176,           0.0085497,           0.0085497,           0.0085497
                  58,            0.042643,            0.033752,            0.010195,             0.49598,             0.48402,             0.44389,             0.23672,             0.05063,            0.040423,            0.019823,            0.008501,            0.008501,            0.008501
                  59,            0.041565,            0.036378,           0.0093367,             0.57308,             0.48373,             0.48743,              0.2595,            0.049343,            0.039967,            0.021481,           0.0084516,           0.0084516,           0.0084516
