               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021968,            0.022074,           0.0030902,             0.59817,             0.55994,             0.50041,             0.29959,            0.043332,             0.04757,            0.023716,              0.0004,              0.0004,              0.0964
                   1,            0.020789,            0.022575,            0.003386,             0.59925,             0.55729,             0.50956,             0.30752,            0.042808,            0.047619,            0.023328,          0.00080936,          0.00080936,            0.092709
                   2,            0.021061,            0.021432,           0.0029509,             0.62013,             0.54318,             0.50583,             0.29998,            0.043335,            0.047424,            0.023445,           0.0012162,           0.0012162,            0.089016
                   3,            0.020718,            0.022276,           0.0029189,             0.64408,             0.54339,             0.51586,             0.30023,            0.043462,            0.047035,            0.023482,           0.0016185,           0.0016185,            0.085318
                   4,            0.021889,            0.022196,           0.0031211,             0.54609,             0.58449,             0.51302,             0.28947,            0.042251,            0.047806,            0.022185,           0.0020144,           0.0020144,            0.081614
                   5,            0.021251,            0.021608,           0.0024672,             0.64619,             0.55817,             0.52179,             0.31436,            0.043055,            0.046912,            0.024233,            0.002402,            0.002402,            0.077902
                   6,            0.021609,            0.022046,           0.0029353,             0.57465,             0.55194,              0.5131,              0.3019,            0.042913,             0.04778,            0.023428,           0.0027797,           0.0027797,             0.07418
                   7,            0.021446,            0.021378,           0.0022184,             0.54139,             0.54689,             0.50423,             0.28845,            0.044116,            0.048013,            0.024024,           0.0031455,           0.0031455,            0.070446
                   8,            0.021815,            0.022269,           0.0025565,             0.58815,             0.58636,             0.53027,             0.29392,            0.044015,             0.04653,            0.023307,           0.0034979,           0.0034979,            0.066698
                   9,             0.02317,            0.022338,           0.0027975,             0.57182,             0.55457,             0.51461,             0.29855,            0.043537,            0.046329,            0.022223,           0.0038353,           0.0038353,            0.062935
                  10,            0.024659,            0.022538,           0.0032883,             0.57321,              0.5435,             0.50747,             0.28638,            0.045592,            0.046534,             0.02326,           0.0041562,           0.0041562,            0.059156
                  11,            0.023696,            0.022056,           0.0027923,             0.63113,             0.55684,             0.52962,             0.30783,            0.044101,            0.046845,            0.022771,           0.0044593,           0.0044593,            0.055359
                  12,            0.026237,            0.023698,           0.0039774,              0.6437,             0.55312,             0.52455,             0.30301,            0.044412,            0.046563,            0.021954,           0.0047432,           0.0047432,            0.051543
                  13,            0.026902,            0.023273,           0.0032451,             0.54523,             0.56051,             0.49978,             0.28326,            0.045004,            0.047057,            0.021563,            0.005007,            0.005007,            0.047707
                  14,            0.025763,            0.022923,           0.0039265,             0.69536,             0.53928,             0.52541,             0.28749,            0.045474,             0.04638,            0.021242,           0.0052495,           0.0052495,             0.04385
                  15,             0.02634,            0.023723,            0.003422,             0.61433,             0.54413,             0.50778,             0.26396,            0.047466,            0.046664,            0.020874,             0.00547,             0.00547,             0.03997
                  16,            0.026915,            0.023433,           0.0035618,             0.60682,             0.54051,             0.51846,             0.31562,            0.044823,            0.047038,            0.021001,           0.0056677,           0.0056677,            0.036068
                  17,            0.028855,            0.023038,           0.0039987,             0.60165,             0.55695,             0.51813,             0.31484,            0.045409,            0.046402,            0.022461,           0.0058422,           0.0058422,            0.032142
                  18,            0.030319,            0.022875,           0.0035614,             0.52109,             0.58788,             0.52895,             0.30966,            0.044411,            0.045584,            0.020584,            0.005993,            0.005993,            0.028193
                  19,            0.030447,            0.023033,           0.0044059,             0.57042,             0.53552,             0.51804,             0.25514,            0.046674,            0.045745,            0.021602,             0.00612,             0.00612,             0.02422
                  20,            0.029801,            0.023462,           0.0042977,             0.50625,             0.58637,             0.51403,             0.28451,            0.045443,            0.045748,            0.022349,            0.006223,            0.006223,            0.020223
                  21,            0.029172,            0.024675,           0.0038336,             0.55839,             0.50261,             0.46321,             0.26561,            0.046885,            0.045799,            0.022257,           0.0063023,           0.0063023,            0.016202
                  22,            0.028259,            0.023866,           0.0039807,             0.60434,             0.52536,             0.49626,              0.3035,            0.046225,            0.044503,            0.022386,           0.0063581,           0.0063581,            0.012158
                  23,            0.030807,            0.024286,            0.004189,             0.52921,             0.48317,             0.46115,              0.2767,            0.044753,            0.046627,            0.020346,           0.0063908,           0.0063908,           0.0080908
                  24,            0.031043,            0.022733,             0.00363,             0.57017,             0.50751,             0.48714,             0.26891,            0.047107,            0.045504,            0.021874,           0.0062512,           0.0062512,           0.0062512
                  25,            0.029935,            0.024589,           0.0042195,             0.57636,             0.55701,             0.50624,             0.30318,            0.044716,            0.045667,            0.021101,           0.0062512,           0.0062512,           0.0062512
                  26,            0.027136,            0.023854,           0.0039446,             0.48121,             0.56285,             0.48664,             0.27197,            0.047148,            0.046011,             0.02118,               0.006,               0.006,               0.006
                  27,            0.026717,            0.024167,           0.0045214,             0.61717,             0.53684,             0.51697,             0.30039,            0.044406,            0.047153,            0.020334,           0.0057488,           0.0057488,           0.0057488
                  28,            0.025817,             0.02393,           0.0034599,             0.57731,             0.51172,             0.48663,             0.28284,            0.046175,            0.045954,            0.021088,           0.0054987,           0.0054987,           0.0054987
                  29,            0.028029,              0.0252,           0.0035327,             0.59416,             0.52499,             0.50127,             0.29678,            0.045058,            0.046245,            0.021265,           0.0052505,           0.0052505,           0.0052505
                  30,            0.026967,            0.024898,           0.0040528,             0.54557,             0.49944,             0.44443,             0.23118,            0.049046,            0.045311,            0.022265,           0.0050052,           0.0050052,           0.0050052
                  31,            0.026934,            0.024957,           0.0040907,             0.47012,             0.50861,             0.42978,              0.2405,            0.048977,            0.047645,            0.022187,           0.0047639,           0.0047639,           0.0047639
                  32,            0.025908,            0.023875,           0.0036369,             0.63063,              0.5022,             0.48438,              0.2759,            0.044187,            0.046736,            0.021301,           0.0045275,           0.0045275,           0.0045275
